,name,group,link,country,party,status,id
38,Burkhard BALZ,EPP,https://www.votewatch.eu/en/term8-burkhard-balz.html,Germany,Christlich Demokratische Union Deutschlands,Inactive,39
39,Nikolay BAREKOV,ECR,https://www.votewatch.eu/en/term8-nikolay-barekov.html,Bulgaria,Reload Bulgaria Party,Active,40
40,Amjad BASHIR,ECR,https://www.votewatch.eu/en/term8-amjad-bashir.html,United Kingdom,Conservative Party,Active,41
41,Gerard BATTEN,ENF,https://www.votewatch.eu/en/term8-gerard-batten.html,United Kingdom,United Kingdom Independence Party,Active,42
42,Nicolas BAY,ENF,https://www.votewatch.eu/en/term8-nicolas-bay.html,France,Rassemblement national,Active,43
43,Hugues BAYET,S&D,https://www.votewatch.eu/en/term8-hugues-bayet.html,Belgium,Parti Socialiste,Active,44
44,Catherine BEARDER,ALDE/ADLE,https://www.votewatch.eu/en/term8-catherine-bearder.html,United Kingdom,Liberal Democrats,Active,45
45,Beatriz BECERRA BASTERRECHEA,ALDE/ADLE,https://www.votewatch.eu/en/term8-beatriz-becerra-basterrechea.html,Spain,Independiente,Active,46
46,Heinz K. BECKER,EPP,https://www.votewatch.eu/en/term8-heinz-k-becker.html,Austria,Österreichische Volkspartei,Active,47
47,Tiziana BEGHIN,EFDD,https://www.votewatch.eu/en/term8-tiziana-beghin.html,Italy,Movimento 5 Stelle,Active,48
48,Bas BELDER,ECR,https://www.votewatch.eu/en/term8-bas-belder.html,Netherlands,Staatkundig Gereformeerde Partij,Active,49
49,Ivo BELET,EPP,https://www.votewatch.eu/en/term8-ivo-belet.html,Belgium,Christen-Democratisch & Vlaams,Active,50
50,Bendt BENDTSEN,EPP,https://www.votewatch.eu/en/term8-bendt-bendtsen.html,Denmark,Det Konservative Folkeparti,Active,51
51,Brando BENIFEI,S&D,https://www.votewatch.eu/en/term8-brando-benifei.html,Italy,Partito Democratico,Active,52
52,Pervenche BERÈS,S&D,https://www.votewatch.eu/en/term8-pervenche-beres.html,France,Parti Socialiste,Active,53
53,Joëlle BERGERON,EFDD,https://www.votewatch.eu/en/term8-joelle-bergeron.html,France,Sans étiquette,Active,54
54,Goffredo Maria BETTINI,S&D,https://www.votewatch.eu/en/term8-goffredo-maria-bettini.html,Italy,Partito Democratico,Active,55
55,Izaskun BILBAO BARANDICA,ALDE/ADLE,https://www.votewatch.eu/en/term8-izaskun-bilbao-barandica.html,Spain,Partido Nacionalista Vasco,Active,56
56,Dominique BILDE,ENF,https://www.votewatch.eu/en/term8-dominique-bilde.html,France,Rassemblement national,Active,57
57,Mara BIZZOTTO,ENF,https://www.votewatch.eu/en/term8-mara-bizzotto.html,Italy,Lega Nord,Active,58
58,Malin BJÖRK,GUE-NGL,https://www.votewatch.eu/en/term8-malin-bjork.html,Sweden,Vänsterpartiet,Active,59
59,José BLANCO LÓPEZ,S&D,https://www.votewatch.eu/en/term8-jose-blanco-lopez.html,Spain,Partido Socialista Obrero Español,Active,60
60,Vilija BLINKEVIČIŪTĖ,S&D,https://www.votewatch.eu/en/term8-vilija-blinkeviciute.html,Lithuania,Lietuvos socialdemokratų partija,Active,61
61,Andrea BOCSKOR,EPP,https://www.votewatch.eu/en/term8-andrea-bocskor.html,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Active,62
62,Reimer BÖGE,EPP,https://www.votewatch.eu/en/term8-reimer-boge.html,Germany,Christlich Demokratische Union Deutschlands,Active,63
63,Franc BOGOVIČ,EPP,https://www.votewatch.eu/en/term8-franc-bogovic.html,Slovenia,Slovenska ljudska stranka,Active,64
64,Simona BONAFÈ,S&D,https://www.votewatch.eu/en/term8-simona-bonafe.html,Italy,Partito Democratico,Active,65
65,Michał BONI,EPP,https://www.votewatch.eu/en/term8-michal-boni.html,Poland,Platforma Obywatelska,Active,66
66,Mario BORGHEZIO,ENF,https://www.votewatch.eu/en/term8-mario-borghezio.html,Italy,Lega Nord,Active,67
67,David BORRELLI,NI,https://www.votewatch.eu/en/term8-david-borrelli.html,Italy,Movimento 5 Stelle,Active,68
68,Biljana BORZAN,S&D,https://www.votewatch.eu/en/term8-biljana-borzan.html,Croatia,Socijaldemokratska partija Hrvatske,Active,69
69,Victor BOŞTINARU,S&D,https://www.votewatch.eu/en/term8-victor-bostinaru.html,Romania,Partidul Social Democrat,Active,70
70,Louise BOURS,EFDD,https://www.votewatch.eu/en/term8-louise-bours.html,United Kingdom,Independent,Active,71
71,Marie-Christine BOUTONNET,ENF,https://www.votewatch.eu/en/term8-marie-christine-boutonnet.html,France,Rassemblement national,Active,72
72,José BOVÉ,Greens/EFA,https://www.votewatch.eu/en/term8-jose-bove.html,France,Europe Écologie,Active,73
73,Lynn BOYLAN,GUE-NGL,https://www.votewatch.eu/en/term8-lynn-boylan.html,Ireland,Sinn Féin,Active,74
74,Philip BRADBOURN,ECR,https://www.votewatch.eu/en/term8-philip-bradbourn.html,United Kingdom,Conservative Party,Inactive,75
75,Paul BRANNEN,S&D,https://www.votewatch.eu/en/term8-paul-brannen.html,United Kingdom,Labour Party,Active,76
76,Mercedes BRESSO,S&D,https://www.votewatch.eu/en/term8-mercedes-bresso.html,Italy,Partito Democratico,Active,77
77,Renata BRIANO,S&D,https://www.votewatch.eu/en/term8-renata-briano.html,Italy,Partito Democratico,Active,78
78,Steeve BRIOIS,ENF,https://www.votewatch.eu/en/term8-steeve-briois.html,France,Rassemblement national,Active,79
79,Elmar BROK,EPP,https://www.votewatch.eu/en/term8-elmar-brok.html,Germany,Christlich Demokratische Union Deutschlands,Active,80
80,Klaus BUCHNER,Greens/EFA,https://www.votewatch.eu/en/term8-klaus-buchner.html,Germany,Ökologisch-Demokratische Partei,Active,81
81,Daniel BUDA,EPP,https://www.votewatch.eu/en/term8-daniel-buda.html,Romania,Partidul Naţional Liberal,Active,82
82,Udo BULLMANN,S&D,https://www.votewatch.eu/en/term8-udo-bullmann.html,Germany,Sozialdemokratische Partei Deutschlands,Active,83
83,Gianluca BUONANNO,ENF,https://www.votewatch.eu/en/term8-gianluca-buonanno.html,Italy,Lega Nord,Inactive,84
84,Cristian-Silviu BUŞOI,EPP,https://www.votewatch.eu/en/term8-cristian-silviu-busoi.html,Romania,Partidul Naţional Liberal,Active,85
85,Reinhard BÜTIKOFER,Greens/EFA,https://www.votewatch.eu/en/term8-reinhard-butikofer.html,Germany,Bündnis 90/Die Grünen,Active,86
86,Jerzy BUZEK,EPP,https://www.votewatch.eu/en/term8-jerzy-buzek.html,Poland,Platforma Obywatelska,Active,87
87,Soledad CABEZÓN RUIZ,S&D,https://www.votewatch.eu/en/term8-soledad-cabezon-ruiz.html,Spain,Partido Socialista Obrero Español,Active,88
88,Alain CADEC,EPP,https://www.votewatch.eu/en/term8-alain-cadec.html,France,Les Républicains,Active,89
89,Wim van de CAMP,EPP,https://www.votewatch.eu/en/term8-wim-van-de-camp.html,Netherlands,Christen Democratisch Appèl,Active,90
90,David CAMPBELL BANNERMAN,ECR,https://www.votewatch.eu/en/term8-david-campbell-bannerman.html,United Kingdom,Conservative Party,Active,91
91,Nicola CAPUTO,S&D,https://www.votewatch.eu/en/term8-nicola-caputo.html,Italy,Partito Democratico,Active,92
92,Matt CARTHY,GUE-NGL,https://www.votewatch.eu/en/term8-matt-carthy.html,Ireland,Sinn Féin,Active,93
93,James CARVER,EFDD,https://www.votewatch.eu/en/term8-james-carver.html,United Kingdom,Independent,Active,94
94,David CASA,EPP,https://www.votewatch.eu/en/term8-david-casa.html,Malta,Partit Nazzjonalista,Active,95
95,Daniel CASPARY,EPP,https://www.votewatch.eu/en/term8-daniel-caspary.html,Germany,Christlich Demokratische Union Deutschlands,Active,96
96,Fabio Massimo CASTALDO,EFDD,https://www.votewatch.eu/en/term8-fabio-massimo-castaldo.html,Italy,Movimento 5 Stelle,Active,97
97,Pilar del CASTILLO VERA,EPP,https://www.votewatch.eu/en/term8-pilar-del-castillo-vera.html,Spain,Partido Popular,Active,98
98,Jean-Marie CAVADA,ALDE/ADLE,https://www.votewatch.eu/en/term8-jean-marie-cavada.html,France,Génération Citoyens,Active,99
99,Bodil VALERO,Greens/EFA,https://www.votewatch.eu/en/term8-bodil-valero.html,Sweden,Miljöpartiet de gröna,Active,100
100,Lorenzo CESA,EPP,https://www.votewatch.eu/en/term8-lorenzo-cesa.html,Italy,Unione di Centro,Active,101
101,Dita CHARANZOVÁ,ALDE/ADLE,https://www.votewatch.eu/en/term8-dita-charanzova.html,Czech Republic,Ano 2011,Active,102
102,Aymeric CHAUPRADE,EFDD,https://www.votewatch.eu/en/term8-aymeric-chauprade.html,France,Les Français Libres,Active,103
103,Nessa CHILDERS,S&D,https://www.votewatch.eu/en/term8-nessa-childers.html,Ireland,Independent,Active,104
104,Caterina CHINNICI,S&D,https://www.votewatch.eu/en/term8-caterina-chinnici.html,Italy,Partito Democratico,Active,105
105,Ole CHRISTENSEN,S&D,https://www.votewatch.eu/en/term8-ole-christensen.html,Denmark,Socialdemokratiet,Active,106
106,Kostas CHRYSOGONOS,GUE-NGL,https://www.votewatch.eu/en/term8-kostas-chrysogonos.html,Greece,Independent,Active,107
107,Salvatore CICU,EPP,https://www.votewatch.eu/en/term8-salvatore-cicu.html,Italy,Forza Italia,Active,108
108,Alberto CIRIO,EPP,https://www.votewatch.eu/en/term8-alberto-cirio.html,Italy,Forza Italia,Active,109
109,Deirdre CLUNE,EPP,https://www.votewatch.eu/en/term8-deirdre-clune.html,Ireland,Fine Gael Party,Active,110
110,David COBURN,EFDD,https://www.votewatch.eu/en/term8-david-coburn.html,United Kingdom,The Brexit Party,Active,111
111,Carlos COELHO,EPP,https://www.votewatch.eu/en/term8-carlos-coelho.html,Portugal,Partido Social Democrata,Active,112
112,Sergio Gaetano COFFERATI,S&D,https://www.votewatch.eu/en/term8-sergio-gaetano-cofferati.html,Italy,Sinistra Italiana,Active,113
113,Birgit COLLIN-LANGEN,EPP,https://www.votewatch.eu/en/term8-birgit-collin-langen.html,Germany,Christlich Demokratische Union Deutschlands,Active,114
114,Jane COLLINS,ENF,https://www.votewatch.eu/en/term8-jane-collins.html,United Kingdom,United Kingdom Independence Party,Active,115
115,Lara COMI,EPP,https://www.votewatch.eu/en/term8-lara-comi.html,Italy,Forza Italia,Active,116
116,Therese COMODINI CACHIA,EPP,https://www.votewatch.eu/en/term8-therese-comodini-cachia.html,Malta,Partit Nazzjonalista,Inactive,117
117,Anna Maria CORAZZA BILDT,EPP,https://www.votewatch.eu/en/term8-anna-maria-corazza-bildt.html,Sweden,Moderaterna,Active,118
118,Richard CORBETT,S&D,https://www.votewatch.eu/en/term8-richard-corbett.html,United Kingdom,Labour Party,Active,119
119,Ignazio CORRAO,EFDD,https://www.votewatch.eu/en/term8-ignazio-corrao.html,Italy,Movimento 5 Stelle,Active,120
120,Silvia COSTA,S&D,https://www.votewatch.eu/en/term8-silvia-costa.html,Italy,Partito Democratico,Active,121
121,Javier COUSO PERMUY  This person became MEP later than the general start of the term.,GUE-NGL,https://www.votewatch.eu/en/term8-javier-couso-permuy.html,Spain,Izquierda Unida,Active,122
122,Andrea COZZOLINO,S&D,https://www.votewatch.eu/en/term8-andrea-cozzolino-2.html,Italy,Partito Democratico,Active,123
123,Michael CRAMER,Greens/EFA,https://www.votewatch.eu/en/term8-michael-cramer-2.html,Germany,Bündnis 90/Die Grünen,Active,124
124,Corina CREŢU,S&D,https://www.votewatch.eu/en/term8-corina-cretu-2.html,Romania,Partidul Social Democrat + Partidul Conservator,Inactive,125
125,Andi CRISTEA,S&D,https://www.votewatch.eu/en/term8-andi-cristea.html,Romania,Partidul Social Democrat,Active,126
126,Brian CROWLEY,ECR,https://www.votewatch.eu/en/term8-brian-crowley-2.html,Ireland,Fianna Fáil Party,Active,127
127,Pál CSÁKY,EPP,https://www.votewatch.eu/en/term8-pal-csaky-2.html,Slovakia,Strana mad'arskej komunity- Magyar Közösség Pártja,Active,128
128,Ryszard CZARNECKI,ECR,https://www.votewatch.eu/en/term8-ryszard-czarnecki-2.html,Poland,Prawo i Sprawiedliwość,Active,129
129,Peter van DALEN,ECR,https://www.votewatch.eu/en/term8-peter-van-dalen-2.html,Netherlands,ChristenUnie,Active,130
130,Miriam DALLI,S&D,https://www.votewatch.eu/en/term8-miriam-dalli-2.html,Malta,Partit Laburista,Active,131
131,Rosa D'AMATO,EFDD,https://www.votewatch.eu/en/term8-rosa-d-amato-2.html,Italy,Movimento 5 Stelle,Active,132
132,Seb DANCE,S&D,https://www.votewatch.eu/en/term8-seb-dance-2.html,United Kingdom,Labour Party,Active,133
133,Viorica DĂNCILĂ,S&D,https://www.votewatch.eu/en/term8-viorica-dancila-2.html,Romania,Partidul Social Democrat + Partidul Conservator,Inactive,134
134,Arnaud DANJEAN,EPP,https://www.votewatch.eu/en/term8-arnaud-danjean-2.html,France,Les Républicains,Active,135
135,Michel DANTIN,EPP,https://www.votewatch.eu/en/term8-michel-dantin-2.html,France,Les Républicains,Active,136
136,Nicola DANTI,S&D,https://www.votewatch.eu/en/term8-nicola-danti-2.html,Italy,Partito Democratico,Active,137
137,William (The Earl of) DARTMOUTH,EFDD,https://www.votewatch.eu/en/term8-william-the-earl-of-dartmouth-2.html,United Kingdom,Independent,Active,138
138,Rachida DATI,EPP,https://www.votewatch.eu/en/term8-rachida-dati-2.html,France,Les Républicains,Active,139
139,Philippe DE BACKER,ALDE/ADLE,https://www.votewatch.eu/en/term8-philippe-de-backer-2.html,Belgium,Open Vlaamse Liberalen en Democraten,Inactive,140
140,Paolo DE CASTRO,S&D,https://www.votewatch.eu/en/term8-paolo-de-castro-2.html,Italy,Partito Democratico,Active,141
141,Marcel de GRAAFF,ENF,https://www.votewatch.eu/en/term8-marcel-de-graaff-2.html,Netherlands,Partij voor de Vrijheid,Active,142
142,Angélique DELAHAYE,EPP,https://www.votewatch.eu/en/term8-angelique-delahaye-2.html,France,Les Républicains,Active,143
143,Andor DELI,EPP,https://www.votewatch.eu/en/term8-andor-deli-2.html,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Active,144
144,Karima DELLI,Greens/EFA,https://www.votewatch.eu/en/term8-karima-delli-2.html,France,Europe Écologie,Active,145
145,Mady DELVAUX,S&D,https://www.votewatch.eu/en/term8-mady-delvaux.html,Luxembourg,Parti ouvrier socialiste luxembourgeois,Active,146
146,Fabio DE MASI,GUE-NGL,https://www.votewatch.eu/en/term8-fabio-de-masi-2.html,Germany,DIE LINKE.,Inactive,147
147,Mark DEMESMAEKER,ECR,https://www.votewatch.eu/en/term8-mark-demesmaeker-2.html,Belgium,Nieuw-Vlaamse Alliantie,Active,148
148,Isabella DE MONTE,S&D,https://www.votewatch.eu/en/term8-isabella-de-monte-2.html,Italy,Partito Democratico,Active,149
149,Jean-Paul DENANOT,S&D,https://www.votewatch.eu/en/term8-jean-paul-denanot-2.html,France,Parti Socialiste,Inactive,150
150,Gérard DEPREZ,ALDE/ADLE,https://www.votewatch.eu/en/term8-gerard-deprez-2.html,Belgium,Mouvement Réformateur,Active,151
151,Marielle de SARNEZ,ALDE/ADLE,https://www.votewatch.eu/en/term8-marielle-de-sarnez-2.html,France,Mouvement Démocrate,Inactive,152
152,Albert DESS,EPP,https://www.votewatch.eu/en/term8-albert-dess-2.html,Germany,Christlich-Soziale Union in Bayern e.V.,Active,153
153,Tamás DEUTSCH,EPP,https://www.votewatch.eu/en/term8-tamas-deutsch-2.html,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Active,154
154,Nirj DEVA,ECR,https://www.votewatch.eu/en/term8-nirj-deva-2.html,United Kingdom,Conservative Party,Active,155
155,Mircea DIACONU,ALDE/ADLE,https://www.votewatch.eu/en/term8-mircea-diaconu-2.html,Romania,Independent,Active,156
156,Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,EPP,https://www.votewatch.eu/en/term8-agustin-diaz-de-mera-garcia-consuegra-2.html,Spain,Partido Popular,Active,157
157,Martina DLABAJOVÁ,ALDE/ADLE,https://www.votewatch.eu/en/term8-martina-dlabajova-2.html,Czech Republic,Ano 2011,Active,158
158,Anneliese DODDS,S&D,https://www.votewatch.eu/en/term8-anneliese-dodds-2.html,United Kingdom,Labour Party,Inactive,159
159,Diane DODDS,NI,https://www.votewatch.eu/en/term8-diane-dodds-2.html,United Kingdom,Democratic Unionist Party,Active,160
160,Jørn DOHRMANN,ECR,https://www.votewatch.eu/en/term8-j-rn-dohrmann-2.html,Denmark,Dansk Folkeparti,Active,161
161,Valdis DOMBROVSKIS,EPP,https://www.votewatch.eu/en/term8-valdis-dombrovskis-2.html,Latvia,"Partija ""VIENOTĪBA""",Inactive,162
162,Tomislav DONCHEV,EPP,https://www.votewatch.eu/en/term8-tomislav-donchev-2.html,Bulgaria,Citizens for European Development of Bulgaria,Inactive,163
163,Herbert DORFMANN,EPP,https://www.votewatch.eu/en/term8-herbert-dorfmann-2.html,Italy,Südtiroler Volkspartei,Active,164
164,Mireille D'ORNANO,EFDD,https://www.votewatch.eu/en/term8-mireille-d-ornano-2.html,France,Les Patriotes,Active,165
165,Damian DRĂGHICI,S&D,https://www.votewatch.eu/en/term8-damian-draghici-2.html,Romania,Independent,Active,166
166,Andrzej DUDA,ECR,https://www.votewatch.eu/en/term8-andrzej-duda.html,Poland,Prawo i Sprawiedliwość,Inactive,167
167,Ian DUNCAN,ECR,https://www.votewatch.eu/en/term8-ian-duncan-2.html,United Kingdom,Conservative Party,Inactive,168
168,Pascal DURAND,Greens/EFA,https://www.votewatch.eu/en/term8-pascal-durand-2.html,France,Europe Écologie,Active,169
169,Angel DZHAMBAZKI,ECR,https://www.votewatch.eu/en/term8-angel-dzhambazki-2.html,Bulgaria,VMRO,Active,170
170,Pablo ECHENIQUE,GUE-NGL,https://www.votewatch.eu/en/term8-pablo-echenique.html,Spain,PODEMOS,Inactive,171
171,Stefan ECK,GUE-NGL,https://www.votewatch.eu/en/term8-stefan-eck-2.html,Germany,Independent,Active,172
172,Christian EHLER,EPP,https://www.votewatch.eu/en/term8-christian-ehler-2.html,Germany,Christlich Demokratische Union Deutschlands,Active,173
173,Bas EICKHOUT,Greens/EFA,https://www.votewatch.eu/en/term8-bas-eickhout-2.html,Netherlands,GroenLinks,Active,174
174,Frank ENGEL,EPP,https://www.votewatch.eu/en/term8-frank-engel-2.html,Luxembourg,Parti chrétien social luxembourgeois,Active,175
175,Georgios EPITIDEIOS,NI,https://www.votewatch.eu/en/term8-georgios-epitideios-2.html,Greece,Popular Association – Golden Dawn,Active,176
176,Norbert ERDŐS,EPP,https://www.votewatch.eu/en/term8-norbert-erdos-2.html,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Active,177
177,Peter ERIKSSON,Greens/EFA,https://www.votewatch.eu/en/term8-peter-eriksson-2.html,Sweden,Miljöpartiet de gröna,Inactive,178
178,Cornelia ERNST,GUE-NGL,https://www.votewatch.eu/en/term8-cornelia-ernst-2.html,Germany,DIE LINKE.,Active,179
179,Ismail ERTUG,S&D,https://www.votewatch.eu/en/term8-ismail-ertug-2.html,Germany,Sozialdemokratische Partei Deutschlands,Active,180
180,Rosa ESTARÀS FERRAGUT,EPP,https://www.votewatch.eu/en/term8-rosa-estaras-ferragut-2.html,Spain,Partido Popular,Active,181
181,Bill ETHERIDGE,EFDD,https://www.votewatch.eu/en/term8-bill-etheridge-2.html,United Kingdom,The Brexit Party,Active,182
182,Jill EVANS,Greens/EFA,https://www.votewatch.eu/en/term8-jill-evans-2.html,United Kingdom,Plaid Cymru - Party of Wales,Active,183
183,Eleonora EVI,EFDD,https://www.votewatch.eu/en/term8-eleonora-evi-2.html,Italy,Movimento 5 Stelle,Active,184
184,Tanja FAJON,S&D,https://www.votewatch.eu/en/term8-tanja-fajon-2.html,Slovenia,Socialni demokrati,Active,185
185,Nigel FARAGE,EFDD,https://www.votewatch.eu/en/term8-nigel-farage-2.html,United Kingdom,The Brexit Party,Active,186
186,José Inácio FARIA,EPP,https://www.votewatch.eu/en/term8-jose-inacio-faria-2.html,Portugal,Partido da Terra,Active,187
187,Fredrick FEDERLEY,ALDE/ADLE,https://www.votewatch.eu/en/term8-fredrick-federley-2.html,Sweden,Centerpartiet,Active,188
188,Markus FERBER,EPP,https://www.votewatch.eu/en/term8-markus-ferber-2.html,Germany,Christlich-Soziale Union in Bayern e.V.,Active,189
189,José Manuel FERNANDES,EPP,https://www.votewatch.eu/en/term8-jose-manuel-fernandes-2.html,Portugal,Partido Social Democrata,Active,190
190,Jonás FERNÁNDEZ,S&D,https://www.votewatch.eu/en/term8-jonas-fernandez.html,Spain,Partido Socialista Obrero Español,Active,191
191,Edouard FERRAND,ENF,https://www.votewatch.eu/en/term8-edouard-ferrand-2.html,France,Front national,Inactive,192
192,Laura FERRARA,EFDD,https://www.votewatch.eu/en/term8-laura-ferrara-2.html,Italy,Movimento 5 Stelle,Active,193
193,Elisa FERREIRA,S&D,https://www.votewatch.eu/en/term8-elisa-ferreira-2.html,Portugal,Partido Socialista,Inactive,194
194,João FERREIRA,GUE-NGL,https://www.votewatch.eu/en/term8-joao-ferreira-2.html,Portugal,Partido Comunista Português,Active,195
195,Raymond FINCH,EFDD,https://www.votewatch.eu/en/term8-raymond-finch-2.html,United Kingdom,United Kingdom Independence Party,Active,196
196,Santiago FISAS AYXELÀ,EPP,https://www.votewatch.eu/en/term8-santiago-fisas-ayxela-2.html,Spain,Partido Popular,Active,197
197,Raffaele FITTO,ECR,https://www.votewatch.eu/en/term8-raffaele-fitto-2.html,Italy,Conservatori e Riformisti,Active,198
198,Christofer FJELLNER,EPP,https://www.votewatch.eu/en/term8-christofer-fjellner-2.html,Sweden,Moderaterna,Active,199
199,Luke Ming FLANAGAN,GUE-NGL,https://www.votewatch.eu/en/term8-luke-ming-flanagan-2.html,Ireland,Independent,Active,200
200,Monika BEŇOVÁ,S&D,https://www.votewatch.eu/en/term8-monika-benova.html,Slovakia,SMER-Sociálna demokracia,Active,201
201,Knut FLECKENSTEIN,S&D,https://www.votewatch.eu/en/term8-knut-fleckenstein-2.html,Germany,Sozialdemokratische Partei Deutschlands,Active,202
202,Karl-Heinz FLORENZ,EPP,https://www.votewatch.eu/en/term8-karl-heinz-florenz-2.html,Germany,Christlich Demokratische Union Deutschlands,Active,203
203,Lorenzo FONTANA  This person became MEP later than the general start of the term.,ENF,https://www.votewatch.eu/en/term8-lorenzo-fontana.html,Italy,Lega Nord,Inactive,204
204,Vicky FORD,ECR,https://www.votewatch.eu/en/term8-vicky-ford-2.html,United Kingdom,Conservative Party,Inactive,205
